hh_id,person_num,age,gender,pemploy,pstudent,type,value_of_time,person_id,activity_pattern,imf_choice,inmf_choice
1,0,36,m,1,3,Full-time worker,3.095673076923077,1,M,1,0
1,1,37,m,2,3,Part-time worker,3.095673076923077,2,N,0,1
2,0,36,m,1,3,Full-time worker,3.095673076923077,3,M,1,0
2,1,37,m,2,3,Part-time worker,3.095673076923077,4,N,0,1
3,0,36,m,1,3,Full-time worker,3.095673076923077,5,M,1,0
3,1,37,m,2,3,Part-time worker,3.095673076923077,6,N,0,1
4,0,36,m,1,3,Full-time worker,3.095673076923077,7,M,1,0
4,1,37,m,2,3,Part-time worker,3.095673076923077,8,N,0,1
5,0,36,m,1,3,Full-time worker,3.095673076923077,9,M,1,0
5,1,37,m,2,3,Part-time worker,3.095673076923077,10,N,0,1
6,0,36,m,1,3,Full-time worker,8.48125,11,M,1,0
6,1,37,m,2,3,Part-time worker,8.48125,12,N,0,1
7,0,36,m,1,3,Full-time worker,8.48125,13,M,1,0
7,1,37,m,2,3,Part-time worker,8.48125,14,N,0,1
8,0,36,m,1,3,Full-time worker,8.48125,15,M,1,0
8,1,37,m,2,3,Part-time worker,8.48125,16,N,0,1
9,0,36,m,1,3,Full-time worker,8.48125,17,M,1,0
9,1,37,m,2,3,Part-time worker,8.48125,18,N,0,1
10,0,36,m,1,3,Full-time worker,8.48125,19,M,1,0
10,1,37,m,2,3,Part-time worker,8.48125,20,N,0,1
11,0,36,m,1,3,Full-time worker,14.855528846153845,21,M,1,0
11,1,37,m,2,3,Part-time worker,14.855528846153845,22,N,0,1
12,0,36,m,1,3,Full-time worker,14.855528846153845,23,M,1,0
12,1,37,m,2,3,Part-time worker,14.855528846153845,24,N,0,1
13,0,36,m,1,3,Full-time worker,14.855528846153845,25,M,1,0
13,1,37,m,2,3,Part-time worker,14.855528846153845,26,N,0,1
14,0,36,m,1,3,Full-time worker,14.855528846153845,27,M,1,0
14,1,37,m,2,3,Part-time worker,14.855528846153845,28,N,0,1
15,0,36,m,1,3,Full-time worker,14.855528846153845,29,M,1,0
15,1,37,m,2,3,Part-time worker,14.855528846153845,30,N,0,1
16,0,36,m,1,3,Full-time worker,29.52403846153846,31,M,1,0
16,1,37,m,2,3,Part-time worker,29.52403846153846,32,N,0,1
17,0,36,m,1,3,Full-time worker,29.52403846153846,33,M,1,0
17,1,37,m,2,3,Part-time worker,29.52403846153846,34,N,0,1
18,0,36,m,1,3,Full-time worker,29.52403846153846,35,M,1,0
18,1,37,m,2,3,Part-time worker,29.52403846153846,36,N,0,1
19,0,36,m,1,3,Full-time worker,29.52403846153846,37,M,1,0
19,1,37,m,2,3,Part-time worker,29.52403846153846,38,N,0,1
20,0,36,m,1,3,Full-time worker,29.52403846153846,39,M,1,0
20,1,37,m,2,3,Part-time worker,29.52403846153846,40,N,0,1
21,0,36,m,1,3,Full-time worker,3.095673076923077,41,M,1,0
21,1,37,m,2,3,Part-time worker,3.095673076923077,42,N,0,1
22,0,36,m,1,3,Full-time worker,3.095673076923077,43,M,1,0
22,1,37,m,2,3,Part-time worker,3.095673076923077,44,N,0,1
23,0,36,m,1,3,Full-time worker,3.095673076923077,45,M,1,0
23,1,37,m,2,3,Part-time worker,3.095673076923077,46,N,0,1
24,0,36,m,1,3,Full-time worker,3.095673076923077,47,M,1,0
24,1,37,m,2,3,Part-time worker,3.095673076923077,48,N,0,1
25,0,36,m,1,3,Full-time worker,3.095673076923077,49,M,1,0
25,1,37,m,2,3,Part-time worker,3.095673076923077,50,N,0,1
26,0,36,m,1,3,Full-time worker,8.48125,51,M,1,0
26,1,37,m,2,3,Part-time worker,8.48125,52,N,0,1
27,0,36,m,1,3,Full-time worker,8.48125,53,M,1,0
27,1,37,m,2,3,Part-time worker,8.48125,54,N,0,1
28,0,36,m,1,3,Full-time worker,8.48125,55,M,1,0
28,1,37,m,2,3,Part-time worker,8.48125,56,N,0,1
