taz,PUMA
1,01500
2,01500
3,01500
4,01500
5,01500
6,01500
7,01500
8,01500
9,01500
10,01500
11,01500
12,01500
13,01500
14,01500
15,01500
16,01500
17,01500
18,01500
19,01500
20,01500
21,01500
22,01500
23,01500
24,01500
25,01500
26,01500
27,01500
28,01500
29,01500
30,01500
31,01500
32,01500
33,01500
34,01500
35,01500
36,01500
37,01500
38,01500
39,01500
40,01500
41,01500
42,01500
43,01500
44,01500
45,01500
46,01500
47,01500
48,01500
49,01500
50,01500
51,01500
52,01500
53,01500
54,01500
55,01500
56,01500
57,01500
58,01500
59,01500
60,01500
61,01500
62,01500
63,01500
64,01500
65,01500
66,01500
67,01500
68,01500
69,01500
70,01500
71,01500
72,01500
73,01500
74,01500
75,01500
76,01500
77,01500
78,01500
79,01500
81,01500
82,01500
83,01500
84,01500
85,01500
86,01500
87,01500
88,01500
89,01500
90,01500
91,01500
92,01500
93,01500
94,01500
95,01500
96,01500
97,01500
98,01500
99,01500
100,01500
101,01500
102,01500
103,01500
104,01500
105,01500
106,01500
107,01500
108,01500
109,01500
110,01500
111,01500
112,01500
114,01500
115,01500
116,01500
117,01500
118,01500
119,01500
120,01500
121,01500
122,01500
123,01500
124,01500
125,01500
126,01500
127,01500
128,01500
129,01500
130,01500
131,01500
132,01500
133,01500
134,01500
135,01500
136,01500
137,01500
138,01500
139,01500
140,01500
141,01500
142,01500
143,01500
144,01500
145,01500
146,01500
147,01500
148,01500
149,01500
150,01500
151,01500
152,01500
153,01500
154,01500
155,01500
156,01500
157,01500
158,01500
159,01500
160,01500
161,01500
162,01500
163,01500
164,01500
165,01500
166,01500
167,01500
168,01500
169,01500
170,01500
171,01500
172,01500
173,01500
174,01500
175,01500
176,01500
177,01500
178,01500
179,01500
180,01500
181,01500
182,01500
183,01500
184,01500
185,01500
186,01500
187,01500
188,01500
189,01500
190,01500
191,01500
192,01500
193,01500
194,01500
195,01500
196,01500
197,01500
198,01500
199,01500
200,01500
201,01500
202,01500
203,01500
204,01500
205,01500
206,01500
207,01500
208,01500
209,01500
210,01500
211,01500
212,01500
213,01500
214,01500
215,01500
216,01500
217,01500
218,01500
219,01500
220,01500
221,01500
222,01500
223,01500
224,01500
225,01500
226,01500
227,01500
228,01500
229,01500
230,01500
231,01500
232,01500
233,01500
234,01500
235,01500
236,01500
237,01500
238,01500
239,01500
240,01500
241,01500
242,01500
243,01500
244,01500
245,01500
246,01500
247,01500
248,01500
249,01500
250,01500
251,01500
252,01500
253,01500
254,01500
255,01500
256,01500
257,01500
258,01500
259,01500
260,01500
261,01500
262,01500
263,01500
264,01500
265,01500
266,01500
267,01500
268,01500
269,01500
270,01500
271,01500
272,01500
273,01500
274,01500
275,01500
276,01500
277,01500
278,01500
279,01500
280,01500
281,01500
282,01500
283,01500
284,01500
285,01500
286,01500
287,01500
288,01500
289,01500
290,01500
291,01500
292,01500
293,01500
294,01500
295,01500
296,01500
297,01500
299,01500
300,01500
301,01500
302,01500
303,01500
304,01500
305,01500
306,01500
307,01500
