hh_id,taz,income,workers,size,autos,autonomousVehicles,walk_subzone,cdap_pattern,jtf_pattern,humanVehicles
1,1,12878,2,2,0,0,1,MN,0_tours,0
2,1,12878,2,2,1,0,1,MN,0_tours,1
3,1,12878,2,2,1,1,1,MN,0_tours,0
4,1,12878,2,2,2,0,1,MN,0_tours,2
5,1,12878,2,2,2,1,1,MN,0_tours,1
6,1,35282,2,2,0,0,1,MN,0_tours,0
7,1,35282,2,2,1,0,1,MN,0_tours,1
8,1,35282,2,2,1,1,1,MN,0_tours,0
9,1,35282,2,2,2,0,1,MN,0_tours,2
10,1,35282,2,2,2,1,1,MN,0_tours,1
11,1,61799,2,2,0,0,1,MN,0_tours,0
12,1,61799,2,2,1,0,1,MN,0_tours,1
13,1,61799,2,2,1,1,1,MN,0_tours,0
14,1,61799,2,2,2,0,1,MN,0_tours,2
15,1,61799,2,2,2,1,1,MN,0_tours,1
16,1,122820,2,2,0,0,1,MN,0_tours,0
17,1,122820,2,2,1,0,1,MN,0_tours,1
18,1,122820,2,2,1,1,1,MN,0_tours,0
19,1,122820,2,2,2,0,1,MN,0_tours,2
20,1,122820,2,2,2,1,1,MN,0_tours,1
21,2,12878,2,2,0,0,1,MN,0_tours,0
22,2,12878,2,2,1,0,1,MN,0_tours,1
23,2,12878,2,2,1,1,1,MN,0_tours,0
24,2,12878,2,2,2,0,1,MN,0_tours,2
25,2,12878,2,2,2,1,1,MN,0_tours,1
26,2,35282,2,2,0,0,1,MN,0_tours,0
27,2,35282,2,2,1,0,1,MN,0_tours,1
28,2,35282,2,2,1,1,1,MN,0_tours,0
29,2,35282,2,2,2,0,1,MN,0_tours,2
30,2,35282,2,2,2,1,1,MN,0_tours,1
31,2,61799,2,2,0,0,1,MN,0_tours,0
32,2,61799,2,2,1,0,1,MN,0_tours,1
33,2,61799,2,2,1,1,1,MN,0_tours,0
34,2,61799,2,2,2,0,1,MN,0_tours,2
35,2,61799,2,2,2,1,1,MN,0_tours,1
36,2,122820,2,2,0,0,1,MN,0_tours,0
37,2,122820,2,2,1,0,1,MN,0_tours,1
38,2,122820,2,2,1,1,1,MN,0_tours,0
39,2,122820,2,2,2,0,1,MN,0_tours,2
40,2,122820,2,2,2,1,1,MN,0_tours,1
41,3,12878,2,2,0,0,1,MN,0_tours,0
42,3,12878,2,2,1,0,1,MN,0_tours,1
43,3,12878,2,2,1,1,1,MN,0_tours,0
44,3,12878,2,2,2,0,1,MN,0_tours,2
45,3,12878,2,2,2,1,1,MN,0_tours,1
46,3,35282,2,2,0,0,1,MN,0_tours,0
47,3,35282,2,2,1,0,1,MN,0_tours,1
48,3,35282,2,2,1,1,1,MN,0_tours,0
49,3,35282,2,2,2,0,1,MN,0_tours,2
50,3,35282,2,2,2,1,1,MN,0_tours,1
51,3,61799,2,2,0,0,1,MN,0_tours,0
52,3,61799,2,2,1,0,1,MN,0_tours,1
53,3,61799,2,2,1,1,1,MN,0_tours,0
54,3,61799,2,2,2,0,1,MN,0_tours,2
