COUNTY,county_name,PUMA
1,San Francisco,7511
1,San Francisco,7511
1,San Francisco,7511
1,San Francisco,7511
1,San Francisco,7511
1,San Francisco,7511
1,San Francisco,7511
1,San Francisco,7511
1,San Francisco,7511
1,San Francisco,7507
1,San Francisco,7510
1,San Francisco,7507
1,San Francisco,7507
1,San Francisco,7511
1,San Francisco,7507
1,San Francisco,7507
1,San Francisco,7508
1,San Francisco,7509
1,San Francisco,7507
1,San Francisco,7513
1,San Francisco,7513
1,San Francisco,7513
1,San Francisco,7513
1,San Francisco,7507
1,San Francisco,7513
1,San Francisco,7507
1,San Francisco,7507
1,San Francisco,7510
1,San Francisco,7510
1,San Francisco,7510
1,San Francisco,7507
1,San Francisco,7507
1,San Francisco,7507
1,San Francisco,7507
1,San Francisco,7514
1,San Francisco,7514
1,San Francisco,7514
1,San Francisco,7514
1,San Francisco,7514
1,San Francisco,7514
1,San Francisco,7514
1,San Francisco,7514
1,San Francisco,7509
1,San Francisco,7514
1,San Francisco,7509
1,San Francisco,7509
1,San Francisco,7511
1,San Francisco,7512
1,San Francisco,7512
1,San Francisco,7512
1,San Francisco,7512
1,San Francisco,7511
1,San Francisco,7511
1,San Francisco,7511
1,San Francisco,7511
1,San Francisco,7511
1,San Francisco,7511
1,San Francisco,7511
1,San Francisco,7511
1,San Francisco,7513
1,San Francisco,7513
1,San Francisco,7507
1,San Francisco,7507
1,San Francisco,7507
1,San Francisco,7507
1,San Francisco,7510
1,San Francisco,7510
1,San Francisco,7507
1,San Francisco,7512
1,San Francisco,7509
1,San Francisco,7510
1,San Francisco,7511
1,San Francisco,7514
1,San Francisco,7514
1,San Francisco,7514
1,San Francisco,7510
1,San Francisco,7508
1,San Francisco,7514
1,San Francisco,7514
1,San Francisco,7514
1,San Francisco,7509
1,San Francisco,7510
1,San Francisco,7514
1,San Francisco,7514
1,San Francisco,7514
1,San Francisco,7514
1,San Francisco,7514
1,San Francisco,7514
1,San Francisco,7514
1,San Francisco,7511
1,San Francisco,7511
1,San Francisco,7511
1,San Francisco,7511
1,San Francisco,7511
1,San Francisco,7511
1,San Francisco,7511
1,San Francisco,7511
1,San Francisco,7511
1,San Francisco,7509
1,San Francisco,7509
1,San Francisco,7513
1,San Francisco,7507
1,San Francisco,7507
1,San Francisco,7511
1,San Francisco,7507
1,San Francisco,7507
1,San Francisco,7507
1,San Francisco,7507
1,San Francisco,7508
1,San Francisco,7512
1,San Francisco,7511
1,San Francisco,7513
1,San Francisco,7513
1,San Francisco,7512
1,San Francisco,7512
1,San Francisco,7512
1,San Francisco,7512
1,San Francisco,7508
1,San Francisco,7508
1,San Francisco,7508
1,San Francisco,7508
1,San Francisco,7508
1,San Francisco,7508
1,San Francisco,7509
1,San Francisco,7509
1,San Francisco,7510
1,San Francisco,7512
1,San Francisco,7513
1,San Francisco,7513
1,San Francisco,7512
1,San Francisco,7512
1,San Francisco,7512
1,San Francisco,7512
1,San Francisco,7512
1,San Francisco,7512
1,San Francisco,7512
1,San Francisco,7512
1,San Francisco,7512
1,San Francisco,7512
1,San Francisco,7512
1,San Francisco,7507
1,San Francisco,7507
1,San Francisco,7508
1,San Francisco,7508
1,San Francisco,7508
1,San Francisco,7508
1,San Francisco,7508
1,San Francisco,7508
1,San Francisco,7508
1,San Francisco,7512
1,San Francisco,7512
1,San Francisco,7512
1,San Francisco,7512
1,San Francisco,7512
1,San Francisco,7509
1,San Francisco,7510
1,San Francisco,7510
1,San Francisco,7510
1,San Francisco,7510
