unique_hh_id,PUMA,TAZ_NODE,MAZ_NODE,integer_weight,SERIALNO,ADJINC,WGTP,NP,TYPEHUGQ,ACR,BLD,HHT,HINCP,HUPAC,NPF,TEN,VEH,hh_workers_from_esr,hh_income_2023,hhgqtype,hh_income_2010
1,101,300002,314661,1,2019HU0122301,1207712,18,2,1,,7.0,7.0,7600.0,4,,3.0,1.0,2,9179,0,6456
2,101,300002,314661,1,2019HU0310720,1207712,48,1,1,,8.0,6.0,10700.0,4,,3.0,0.0,1,12923,0,9090
3,101,300002,314661,1,2019HU0385456,1207712,66,3,1,,5.0,5.0,360000.0,4,,3.0,2.0,3,434776,0,305824
4,101,300002,314661,1,2019HU0881842,1207712,28,3,1,,8.0,1.0,159200.0,4,3.0,1.0,2.0,3,192268,0,135242
5,101,300002,314661,1,2019HU1053065,1207712,48,1,1,,6.0,6.0,13700.0,4,,3.0,0.0,0,16546,0,11638
6,101,300002,314661,1,2019HU1134635,1207712,25,1,1,,8.0,6.0,0.0,4,,3.0,0.0,0,0,0,0
7,101,300002,314661,1,2019HU1142851,1207712,6,6,1,,4.0,1.0,129500.0,3,3.0,1.0,3.0,3,156399,0,110012
8,101,300002,314661,1,2019HU1257304,1207712,35,2,1,,4.0,1.0,102000.0,4,2.0,1.0,3.0,2,123187,0,86650
9,101,300002,314661,1,2019HU1388444,1207712,26,1,1,,9.0,6.0,0.0,4,,3.0,0.0,0,0,0,0
10,101,300002,314661,1,2020HU0029595,1187140,45,1,1,,7.0,4.0,8500.0,4,,3.0,1.0,1,10091,0,7098


